COLDETKEY,ST_VEH_TYPE_DESC
193980,Truck/SUV
193980,Passenger Vehicle
330900,Commercial Trucks
197520,Truck/SUV
197520,Passenger Vehicle
186680,Passenger Vehicle
186680,Passenger Vehicle
255440,Passenger Vehicle
255440,Truck/SUV
192380,Passenger Vehicle
192380,Passenger Vehicle
192380,Truck/SUV
192180,Passenger Vehicle
192180,Passenger Vehicle
192700,Truck/SUV
192700,Passenger Vehicle
318300,Passenger Vehicle
318300,Commercial Trucks
199740,Truck/SUV
199740,Other
227040,Passenger Vehicle
227040,Passenger Vehicle
233900,Truck/SUV
233900,Truck/SUV
191480,Truck/SUV
191480,Passenger Vehicle
224480,Passenger Vehicle
224480,Passenger Vehicle
187380,Truck/SUV
187380,Not Stated
199440,Truck/SUV
199440,Truck/SUV
222780,Truck/SUV
222780,Passenger Vehicle
317800,Passenger Vehicle
317800,Two-Wheeled
183480,Passenger Vehicle
183480,Truck/SUV
214760,Truck/SUV
214760,Passenger Vehicle
199340,Passenger Vehicle
199340,Passenger Vehicle
185380,Truck/SUV
185380,Truck/SUV
235100,Passenger Vehicle
235100,Passenger Vehicle
198540,Passenger Vehicle
198540,Not Stated
253940,Commercial Trucks
253940,Passenger Vehicle
207000,Truck/SUV
207000,Commercial Trucks
234400,Passenger Vehicle
201340,Truck/SUV
201340,Truck/SUV
210840,Passenger Vehicle
210840,Not Stated
231500,Two-Wheeled
231500,Truck/SUV
212140,Truck/SUV
212140,Truck/SUV
183780,Passenger Vehicle
214360,Passenger Vehicle
214360,Truck/SUV
194500,Truck/SUV
194500,Truck/SUV
202840,Passenger Vehicle
202840,Truck/SUV
236840,Truck/SUV
212340,Passenger Vehicle
212340,Truck/SUV
227340,Truck/SUV
227340,Passenger Vehicle
227340,Truck/SUV
227340,Passenger Vehicle
226540,Truck/SUV
226540,Truck/SUV
208200,Truck/SUV
208200,Not Stated
215460,Truck/SUV
215460,Passenger Vehicle
233800,Passenger Vehicle
233800,Passenger Vehicle
224900,Passenger Vehicle
224900,Passenger Vehicle
213280,Passenger Vehicle
213280,Not Stated
235840,Passenger Vehicle
235840,Truck/SUV
194080,Truck/SUV
194080,Passenger Vehicle
184880,Passenger Vehicle
330600,Passenger Vehicle
330600,Passenger Vehicle
330600,Passenger Vehicle
330600,Passenger Vehicle
206060,Passenger Vehicle
206060,Passenger Vehicle
308780,Passenger Vehicle
308780,Passenger Vehicle
189180,Passenger Vehicle
189180,Not Stated
275460,Passenger Vehicle
275460,Passenger Vehicle
222280,Truck/SUV
222280,Passenger Vehicle
225300,Truck/SUV
225300,Passenger Vehicle
309380,Passenger Vehicle
330400,Passenger Vehicle
330400,Passenger Vehicle
237840,Passenger Vehicle
237840,Passenger Vehicle
209120,Passenger Vehicle
209120,Passenger Vehicle
220680,Truck/SUV
199940,Two-Wheeled
199940,Not Stated
196600,Truck/SUV
196600,Truck/SUV
196600,Not Stated
205960,Passenger Vehicle
205960,Passenger Vehicle
205960,Passenger Vehicle
205960,Passenger Vehicle
233300,Passenger Vehicle
233300,Passenger Vehicle
207100,Passenger Vehicle
207100,Not Stated
188980,Passenger Vehicle
188980,Passenger Vehicle
188280,Truck/SUV
217180,Passenger Vehicle
232700,Passenger Vehicle
232700,Passenger Vehicle
197420,Passenger Vehicle
197420,Truck/SUV
236640,Truck/SUV
236640,Not Stated
254140,Truck/SUV
254140,Passenger Vehicle
222380,Truck/SUV
222380,Commercial Trucks
201540,Truck/SUV
201540,Truck/SUV
198120,Passenger Vehicle
198120,Passenger Vehicle
308980,Truck/SUV
308980,Truck/SUV
223880,Passenger Vehicle
223880,Truck/SUV
217580,Passenger Vehicle
217580,Passenger Vehicle
194280,Passenger Vehicle
194280,Commercial Trucks
207200,Passenger Vehicle
207200,Truck/SUV
186380,Passenger Vehicle
186380,Truck/SUV
204540,Passenger Vehicle
204540,Not Stated
187080,Truck/SUV
187080,Passenger Vehicle
330500,Passenger Vehicle
330500,Passenger Vehicle
229960,Passenger Vehicle
229960,Not Stated
185780,Passenger Vehicle
185780,Not Stated
187480,Truck/SUV
187480,Not Stated
210540,Truck/SUV
210540,Truck/SUV
206480,Truck/SUV
206480,Passenger Vehicle
208100,Truck/SUV
208100,Passenger Vehicle
217880,Truck/SUV
217880,Passenger Vehicle
243480,Passenger Vehicle
239840,Passenger Vehicle
239840,Not Stated
221780,Truck/SUV
221780,Passenger Vehicle
197220,Passenger Vehicle
197220,Passenger Vehicle
216380,Truck/SUV
216380,Truck/SUV
221980,Truck/SUV
221980,Passenger Vehicle
189780,Passenger Vehicle
189780,Passenger Vehicle
253400,Passenger Vehicle
253400,Truck/SUV
207600,Passenger Vehicle
207600,Passenger Vehicle
218293,Passenger Vehicle
218293,Passenger Vehicle
221580,Passenger Vehicle
202740,Passenger Vehicle
202740,Not Stated
196300,Truck/SUV
196300,Passenger Vehicle
242560,Passenger Vehicle
242560,Truck/SUV
205460,Passenger Vehicle
205460,Passenger Vehicle
197820,Passenger Vehicle
197820,Truck/SUV
219100,Passenger Vehicle
219100,Truck/SUV
227140,Truck/SUV
227140,Passenger Vehicle
192880,Passenger Vehicle
192880,Not Stated
191880,Passenger Vehicle
191880,Passenger Vehicle
236140,Passenger Vehicle
236140,Truck/SUV
184280,Passenger Vehicle
198020,Passenger Vehicle
198020,Passenger Vehicle
216580,Passenger Vehicle
216580,Passenger Vehicle
233600,Truck/SUV
233600,Passenger Vehicle
204040,Passenger Vehicle
204040,Truck/SUV
227240,Passenger Vehicle
227240,Passenger Vehicle
212540,Truck/SUV
212540,Truck/SUV
212540,Truck/SUV
214260,Passenger Vehicle
231800,Truck/SUV
231800,Truck/SUV
231800,Passenger Vehicle
216780,Passenger Vehicle
216780,Passenger Vehicle
226440,Passenger Vehicle
226440,Passenger Vehicle
233200,Truck/SUV
233200,Truck/SUV
210020,Passenger Vehicle
210020,Passenger Vehicle
210020,Truck/SUV
191580,Passenger Vehicle
191580,Truck/SUV
240240,Truck/SUV
229360,Passenger Vehicle
229360,Not Stated
229460,Passenger Vehicle
229460,Passenger Vehicle
213760,Passenger Vehicle
213760,Truck/SUV
275643,Passenger Vehicle
275643,Passenger Vehicle
195400,Not Stated
195400,Passenger Vehicle
242440,Passenger Vehicle
242440,Not Stated
199640,Truck/SUV
199640,Commercial Trucks
225400,Passenger Vehicle
202240,Truck/SUV
202240,Truck/SUV
215360,Passenger Vehicle
215360,Truck/SUV
224580,Truck/SUV
224580,Truck/SUV
309480,Truck/SUV
309480,Truck/SUV
309480,Truck/SUV
309480,Passenger Vehicle
199840,Passenger Vehicle
199840,Not Stated
237040,Passenger Vehicle
237040,Truck/SUV
227540,Truck/SUV
227540,Passenger Vehicle
204640,Buses
204640,Truck/SUV
192480,Passenger Vehicle
192480,Truck/SUV
208800,Passenger Vehicle
208800,Passenger Vehicle
208800,Truck/SUV
226240,Truck/SUV
226240,Truck/SUV
225720,Not Stated
225720,Passenger Vehicle
215760,Passenger Vehicle
215760,Truck/SUV
215760,Passenger Vehicle
195680,Two-Wheeled
195680,Passenger Vehicle
228740,Truck/SUV
228740,Truck/SUV
228740,Passenger Vehicle
194900,Passenger Vehicle
226140,Commercial Trucks
226140,Two-Wheeled
216980,Truck/SUV
216980,Passenger Vehicle
216980,Passenger Vehicle
216980,Passenger Vehicle
216980,Truck/SUV
198940,Passenger Vehicle
198940,Passenger Vehicle
198940,Truck/SUV
243597,Truck/SUV
243597,Two-Wheeled
253600,Passenger Vehicle
253600,Truck/SUV
194180,Passenger Vehicle
194180,Passenger Vehicle
217080,Passenger Vehicle
217080,Truck/SUV
186880,Passenger Vehicle
212440,Passenger Vehicle
212440,Not Stated
191380,Truck/SUV
191380,Passenger Vehicle
200340,Commercial Trucks
215860,Truck/SUV
215860,Truck/SUV
193480,Truck/SUV
204240,Truck/SUV
204240,Truck/SUV
240240,Truck/SUV
191280,Passenger Vehicle
201640,Passenger Vehicle
201640,Not Stated
198340,Passenger Vehicle
198340,Not Stated
234600,Truck/SUV
234600,Passenger Vehicle
187980,Passenger Vehicle
187980,Truck/SUV
219600,Truck/SUV
219600,Passenger Vehicle
203440,Truck/SUV
203440,Not Stated
205140,Passenger Vehicle
205140,Truck/SUV
217280,Passenger Vehicle
217280,Truck/SUV
225937,Truck/SUV
229060,Railway Vehicle
229060,Passenger Vehicle
217780,Buses
217780,Passenger Vehicle
276340,Passenger Vehicle
276340,Passenger Vehicle
226340,Passenger Vehicle
227440,Passenger Vehicle
227440,Passenger Vehicle
182960,Passenger Vehicle
182960,Passenger Vehicle
241940,Truck/SUV
241940,Passenger Vehicle
241940,Not Stated
308480,Truck/SUV
242680,Truck/SUV
242680,Truck/SUV
237540,Passenger Vehicle
237540,Truck/SUV
187580,Passenger Vehicle
187580,Passenger Vehicle
187580,Passenger Vehicle
205560,Passenger Vehicle
205560,Passenger Vehicle
205560,Passenger Vehicle
226940,Passenger Vehicle
186980,Passenger Vehicle
186980,Passenger Vehicle
216060,Railway Vehicle
216060,Truck/SUV
213860,Truck/SUV
213860,Passenger Vehicle
210640,Passenger Vehicle
232100,Truck/SUV
206160,Passenger Vehicle
206160,Truck/SUV
202940,Passenger Vehicle
202940,Passenger Vehicle
202940,Passenger Vehicle
234300,Truck/SUV
234300,Truck/SUV
233000,Truck/SUV
223280,Passenger Vehicle
223280,Truck/SUV
232500,Truck/SUV
216480,Not Stated
228840,Truck/SUV
228840,Truck/SUV
188480,Passenger Vehicle
188480,Buses
234200,Passenger Vehicle
234200,Passenger Vehicle
234200,Not Stated
216260,Commercial Trucks
216260,Passenger Vehicle
243180,Truck/SUV
243180,Truck/SUV
242880,Passenger Vehicle
242880,Passenger Vehicle
330200,Truck/SUV
330200,Truck/SUV
241440,Commercial Trucks
241440,Truck/SUV
207500,Passenger Vehicle
207500,Passenger Vehicle
241840,Truck/SUV
241840,Truck/SUV
194800,Passenger Vehicle
229760,Passenger Vehicle
229760,Passenger Vehicle
236340,Commercial Trucks
236340,Truck/SUV
192580,Truck/SUV
192580,Truck/SUV
237440,Passenger Vehicle
198757,Passenger Vehicle
198757,Commercial Trucks
224380,Truck/SUV
224380,Not Stated
214560,Passenger Vehicle
214560,Truck/SUV
228240,Truck/SUV
228240,Passenger Vehicle
224680,Passenger Vehicle
224680,Truck/SUV
233500,Truck/SUV
233500,Truck/SUV
275340,Passenger Vehicle
275340,Passenger Vehicle
184080,Not Stated
217480,Truck/SUV
217480,Passenger Vehicle
226640,Truck/SUV
226640,Passenger Vehicle
226640,Passenger Vehicle
237640,Passenger Vehicle
